"id","SYMBOL"
"17210850",NA
"17210852",NA
"17210855","LYPLA1"
"17210869","TCEA1"
"17210883",NA
"17210887","ATP6V1H"
"17210904","OPRK1"
"17210912","RB1CC1"
"17210947","FAM150A"
"17210953","ST18"
"17210984","PCMTD1"
"17210994",NA
"17210996",NA
"17210998",NA
"17211000","RRS1"
"17211004","ADHFE1"
"17211023","3110035E14RIK"
"17211033","1700034P13RIK"
"17211043","SGK3"
"17211066","6030422M02RIK"
"17211087",NA
"17211090","CSPP1"
"17211127",NA
"17211129",NA
"17211131","PREX2"
"17211174","A830018L16RIK"
"17211194","4932411L15"
"17211198","SULF1"
"17211223","XKR9"
"17211230",NA
"17211232","MSC"
"17211235","KCNB2"
"17211241",NA
"17211243","TERF1"
"17211256",NA
"17211258","RDH10"
"17211268",NA
"17211275","D030040B21RIK"
"17211280","TMEM70"
"17211286","LY96"
"17211294","GDAP1"
"17211303",NA
"17211305","PI15"
"17211313","CRISPLD1"
"17211335","TFAP2D"
"17211347","TFAP2B"
"17211361","4930486I03RIK"
"17211365","MIR206"
"17211367","MIR133B"
"17211369","IL17A"
"17211375","PAQR8"
"17211382","EFHC1"
"17211396","TMEM14A"
"17211405","GSTA3"
"17211416","KHDC1A"
"17211423","KHDC1C"
"17211429","KHDC1B"
"17211435","KCNQ5"
"17211439",NA
"17211441","MIR30A"
"17211443","MIR30C-2"
"17211445","B3GAT2"
"17211458","COL9A1"
"17211498","LMBRD1"
"17211517",NA
"17211519",NA
"17211522",NA
"17211526","GM5524"
"17211529",NA
"17211531",NA
"17211533","LGSN"
"17211541","4930521A18RIK"
"17211545","GM4850"
"17211548","KHDRBS2"
"17211560",NA
"17211562",NA
"17211564",NA
"17211566",NA
"17211568","1700001G17RIK"
"17211572","RAB23"
"17211587","DST"
"17211700","IMP4"
"17211713","PTPN18"
"17211731","PRSS39"
"17211739","CFC1"
"17211748","FAM123C"
"17211752","ARHGEF4"
"17211774","PLEKHB2"
"17211788",NA
"17211790","HS6ST1"
"17211795","ARID5A"
"17211809",NA
"17211822","CNNM4"
"17211832","CNNM3"
"17211844","D430040D24RIK"
"17211848",NA
"17211850","COX5B"
"17211857","4933424G06RIK"
"17211867","ZAP70"
"17211883",NA
"17211885","VWA3B"
"17211927","CNGA3"
"17211939","INPP4A"
"17211973","UNC50"
"17211984",NA
"17211987",NA
"17211990","LIPT1"
"17211998","MRPL30"
"17212009",NA
"17212016",NA
"17212018","EIF5B"
"17212045","GM5099"
"17212049",NA
"17212057",NA
"17212061",NA
"17212069","NMS"
"17212080","PDCL3"
"17212087","NPAS2"
"17212114","RPL31"
"17212121",NA
"17212123","D1BWG0212E"
"17212138","MAP4K4"
"17212174","IL1R2"
"17212185","IL1R1"
"17212199","IL1RL2"
"17212211","IL1RL1"
"17212229","IL18R1"
"17212252","IL18RAP"
"17212269","SLC9A4"
"17212284",NA
"17212286","SLC9A2"
"17212301","TMEM182"
"17212309",NA
"17212313","POU3F3"
"17212316","2900092D14RIK"
"17212318","MRPS9"
"17212334","GPR45"
"17212341",NA
"17212343",NA
"17212346","AI597479"
"17212353","RPL29"
"17212355","NCK2"
"17212364","1500015O10RIK"
"17212371",NA
"17212373","TPP2"
"17212406","BIVM"
"17212423","ERCC5"
"17212442","GULP1"
"17212461","COL3A1"
"17212514",NA
"17212516",NA
"17212518","WDR75"
"17212546",NA
"17212548","DNAHC7B"
"17212619",NA
"17212686",NA
"17212688",NA
"17212694",NA
"17212696","TMEFF2"
"17212719","SDPR"
"17212724","STAT4"
"17212750","STAT1"
"17212778","TMEM194B"
"17212792","HIBCH"
"17212813","MSTN"
"17212819",NA
"17212821","ORMDL1"
"17212828","OSGEPL1"
"17212840","CCDC150"
"17212872",NA
"17212874","COQ10B"
"17212882","HSPE1"
"17212888","MOB4"
"17212900","RFTN2"
"17212904","MARS2"
"17212908","PLCL1"
"17212916","9130227L01RIK"
"17212923","9130024F11RIK"
"17212931","1700066M21RIK"
"17212935","9430016H08RIK"
"17212945",NA
"17212947","SPATS2L"
"17212968",NA
"17212970","SGOL2"
"17212982","AOX1"
"17213021","AOX3"
"17213060","AOX4"
"17213101","AOX3L1"
"17213139","BZW1"
"17213153","NIF3L1"
"17213166","GM15834"
"17213179","NDUFB3"
"17213185","CBX3"
"17213189","GM20257"
"17213192","CFLAR"
"17213213","CASP8"
"17213226","STRADB"
"17213244",NA
"17213246","CDK15"
"17213265","FZD7"
"17213270","GM973"
"17213293",NA
"17213295","NOP58"
"17213313","SNORD70"
"17213315",NA
"17213317",NA
"17213319","SNORD11"
"17213321","BMPR2"
"17213336","BMPR2"
"17213338","FAM117B"
"17213349","CARF"
"17213369","NBEAL1"
"17213428","CYP20A1"
"17213446","ABI2"
"17213462","CD28"
"17213473",NA
"17213478","CTLA4"
"17213490","ICOS"
"17213499",NA
"17213503","9530026F06RIK"
"17213509",NA
"17213513",NA
"17213515","PARD3B"
"17213548","NRP2"
"17213570",NA
"17213572","NDUFS1"
"17213578","GM20342"
"17213580","EEF1B2"
"17213591",NA
"17213593","SNORA41"
"17213595",NA
"17213598","ZDBF2"
"17213608","ADAM23"
"17213645","FASTKD2"
"17213663","GM13749"
"17213666","KLF7"
"17213669",NA
"17213674",NA
"17213676","CREB1"
"17213687","CCNYL1"
"17213702","PIKFYVE"
"17213747","PTH2R"
"17213765","CRYGF"
"17213770","MTAP2"
"17213804",NA
"17213806",NA
"17213808","UNC80"
"17213880","RPE"
"17213890",NA
"17213892",NA
"17213894","CPS1"
"17213937",NA
"17213943",NA
"17213945",NA
"17213948",NA
"17213953","SPAG16"
"17213976",NA
"17213978","VWC2L"
"17213990","ATIC"
"17214009","APOL7D"
"17214018","GM8883"
"17214023","GM5528"
"17214025",NA
"17214027","B930094L07RIK"
"17214039",NA
"17214041",NA
"17214043",NA
"17214045","TMEM169"
"17214053","XRCC5"
"17214075","SMARCAL1"
"17214100","RPL37A"
"17214106","IGFBP2"
"17214115","1700027A15RIK"
"17214120","D530049I02RIK"
"17214124",NA
"17214126","RUFY4"
"17214142","CXCR2"
"17214147",NA
"17214149","ARPC2"
"17214162","GPBAR1"
"17214166","PNKD"
"17214184","GM216"
"17214197","SLC11A1"
"17214220","CTDSP1"
"17214232","MIR26B"
"17214234","VIL1"
"17214257","RQCD1"
"17214269","PLCD4"
"17214293","BCS1L"
"17214307","STK36"
"17214341","TTLL4"
"17214368","CYP27A1"
"17214380","WNT6"
"17214387","WNT10A"
"17214395",NA
"17214400","CDK5R2"
"17214405",NA
"17214409","FAM134A"
"17214421","ZFAND2B"
"17214433","ANKZF1"
"17214449","STK16"
"17214462","DNAJB2"
"17214476","DES"
"17214487","SPEG"
"17214543","GMPPA"
"17214564","ACCN4"
"17214578","TMEM198"
"17214588","INHA"
"17214593","STK11IP"
"17214622","SLC4A3"
"17214650","LOC100862333"
"17214656","GM17751"
"17214663",NA
"17214665","SGPP2"
"17214672","MOGAT1"
"17214685","ACSL3"
"17214711","KCNE4"
"17214719","LOC100862182"
"17214722","MRPL44"
"17214729","LOC100862198"
"17214731","1700016L21RIK"
"17214735","9430031J16RIK"
"17214753","IRS1"
"17214757","GM19537"
"17214759","RHBDD1"
"17214771","COL4A3"
"17214823",NA
"17214825","MFF"
"17214841","AGFG1"
"17214857","CCL20"
"17214865","WDR69"
"17214881",NA
"17214883","FBXO36"
"17214892",NA
"17214899","GM7609"
"17214904","C130026I21RIK"
"17214907","CSPRS"
"17214910","GM2427"
"17214921",NA
"17214924","SP140"
"17214948","SP100"
"17214979","SP100"
"17214981",NA
"17214983","CAB39"
"17214998","ITM2C"
"17215008","4933407L21RIK"
"17215016","SPATA3"
"17215029","2810459M11RIK"
"17215035","PSMD1"
"17215065",NA
"17215067","ARMC9"
"17215097","B3GNT7"
"17215101","GM5258"
"17215105","C130036L24RIK"
"17215111","1700019O17RIK"
"17215113",NA
"17215115","PTMA"
"17215123","COPS7B"
"17215137","DIS3L2"
"17215166","AKP3"
"17215178","PRSS56"
"17215192","CHRND"
"17215208","CHRNG"
"17215222","EIF4E2"
"17215238",NA
"17215240","EFHD1"
"17215251","GIGYF2"
"17215291","3110079O15RIK"
"17215296","A530079E22RIK"
"17215298","NEU2"
"17215309","INPP5D"
"17215345","ATG16L1"
"17215370",NA
"17215372","SCARNA6"
"17215374",NA
"17215376","SAG"
"17215395","DGKD"
"17215427",NA
"17215429","UGT1A10"
"17215462","HEATR7B1"
"17215507","TRPM8"
"17215539","SPP2"
"17215550","GM19589"
"17215557","2410088K16RIK"
"17215561","1700067G17RIK"
"17215565","SH3BP4"
"17215576","AGAP1"
"17215597",NA
"17215599",NA
"17215601","GBX2"
"17215605","CXCR7"
"17215612","COPS8"
